media_id,title,favorites,coins,views,danmakus,media_tags,score,cm_count
1230,无限之住人,39634,454,319866,5667,"['历史', '热血']",9.1,100人评
1231,药师寺凉子的怪奇事件簿,62312,675,178478,3445,"['奇幻', '日常', '热血', '推理']",9.4,271人评
1233,Sends of Destruction,84889,635,392130,8072,"['奇幻', '热血', '架空', '冒险']",8.6,179人评
1238,海马,61136,1701,385269,14996,"['科幻', '少女']",9.8,694人评
1239,×××HOLiC,748540,13824,4249364,99562,"['奇幻', '日常']",9.8,3220人评
1246,二十面相少女,37976,523,279870,14045,"['奇幻', '热血']",9.4,121人评
1250,苍色骑士（中文）,67879,51,154431,342,"['奇幻', '科幻']",8.7,125人评
1251,骷髅13,17322,562,603774,26816,['热血'],9.6,124人评
1255,幻影少年,87861,684,317700,9431,['奇幻'],9.2,183人评
1262,Stories of Last Letter,142222,2862,890303,24695,"['奇幻', '治愈', '少女']",9.5,909人评
1271,精灵守护者,59906,2207,752670,36010,"['奇幻', '治愈', '热血']",9.8,533人评
1274,英雄时代,144880,6533,2486329,74718,"['科幻', '热血', '机战', '战斗']",9.7,1558人评
1279,青空下的约定,61260,467,382694,4289,['日常'],8.1,102人评
1293,幸运星,412269,10187,1005274,23191,"['萌系', '搞笑', '日常', '治愈']",9.8,5978人评
1295,地球防卫少年,82562,1951,1038182,73841,"['科幻', '机战']",9.1,480人评
1299,彩云国物语,142202,3145,1520724,59201,"['奇幻', '少女', '声控', '小说改', '乙女', '架空']",9.5,493人评
1300,彩云国物语 第二季,41129,902,845532,21280,"['奇幻', '少女', '声控', '小说改', '乙女', '架空', '穿越']",9.5,183人评
1308,小女神花铃,69214,745,192299,7639,"['萌系', '奇幻', '少女']",9.7,246人评
1314,悲惨世界 少女珂赛特,26061,1073,262773,21199,"['少女', '治愈']",9.7,303人评
1315,校园理想乡 学美向前冲！,24503,400,47857,2139,"['萌系', '搞笑', '科幻', '声控']",9.6,195人评
1333,龙鸣,44298,293,179319,1489,"['科幻', '热血']",6.0,339人评
1340,逮捕令 第一季,42453,1021,793731,46900,"['日常', '少女', '热血', '职场']",9.6,199人评
1344,素描簿,34274,444,157334,5620,"['萌系', '日常', '治愈']",9.6,151人评
1356,萌单,32363,428,213535,13671,"['萌系', '日常', '魔法']",9.1,102人评
1359,永生之酒,534000,10190,2442394,69111,"['时泪', '奇幻', '声控', '小说改', '搞笑', '热血']",9.7,4223人评
1371,僵尸借贷,70638,482,432710,23409,"['奇幻', '热血']",9.2,181人评
1374,KANON / 雪之少女（东映版）,65136,302,326576,9125,"['少女', '治愈']",8.5,176人评
1375,KANON / 雪之少女（京都版）,181148,4606,557705,35134,"['少女', '治愈', '催泪']",9.7,1507人评
1379,黑礁,248977,7322,3502102,83340,"['科幻', '战斗', '热血', '智斗', '漫画改']",9.6,1122人评
1380,黑礁 第二季,69061,7322,3502168,83340,"['科幻', '战斗', '热血', '智斗']",9.6,573人评
1383,我们的存在,126141,705,267497,8592,"['日常', '少女', '治愈', '恋爱']",9.5,308人评
1388,传颂之物,200084,4534,1139509,42195,"['奇幻', '热血', '战斗', '架空']",9.7,1201人评
1389,惊爆草莓,120903,3042,834010,84362,[],9.3,656人评
1390,魔界战记 迪斯凯亚,17868,332,201116,5604,"['奇幻', '热血', '架空', '冒险']",9.5,100人评
1394,备长炭,21651,1741,235914,11600,"['萌系', '搞笑', '日常', '治愈']",9.8,341人评
1395,死神的歌谣,53901,328,414078,7021,"['萌系', '奇幻']",9.4,119人评
1396,怪 〜AYAKASHI〜,281428,5834,2248993,120798,"['历史', '奇幻', '治愈']",9.7,1082人评
1405,结界师,84328,1680,555431,12379,"['奇幻', '热血']",9.7,658人评
1406,奇幻贵公子,157458,2748,1380383,55434,"['奇幻', '推理']",9.4,929人评
1407,欢迎光临樱兰高校,656317,25898,10733620,400366,"['搞笑', '日常', '少女', '校园', '社团', '乙女']",9.8,5252人评
1408,武装炼金,39292,538,455828,16048,['热血'],9.2,145人评
1410,心跳回忆 ONLY LOVE,103758,3165,1456592,59454,"['萌系', '日常', '治愈']",9.5,359人评
1414,后天的方向,18302,309,44996,1429,"['萌系', '日常', '治愈']",9.6,149人评
1420,魔法老师涅吉! 第一季,170201,1650,894453,24299,"['萌系', '日常', '魔法']",9.0,336人评
1422,调酒师,94204,1124,205555,2245,"['日常', '治愈']",9.7,404人评
1423,永不消失的彩虹,63327,631,511249,10924,"['萌系', '奇幻', '日常']",8.8,109人评
1426,Happiness!,45999,305,92186,1936,"['萌系', '日常']",8.6,106人评
1434,贫穷姐妹物语,68241,1368,145725,7297,"['萌系', '日常', '治愈']",9.4,250人评
1446,校园迷糊大王,133054,3668,1137769,40215,"['搞笑', '日常']",9.8,1190人评
1448,我的女神,119280,3100,771825,19461,"['时泪', '治愈', '奇幻']",9.7,787人评
1449,我的女神 缤纷之翼,34202,483,140468,3107,"['时泪', '治愈', '奇幻']",9.7,312人评
1461,西蒙 SIMOUN,28403,415,191472,13625,"['科幻', '机战', '架空']",9.7,173人评
